size_mb,memory_type,h2d_ms,h2d_gbps,d2h_ms,d2h_gbps
1024,Pageable,141.75,7.05,146.57,6.82
1024,Pinned,41.50,24.10,41.48,24.11
1024,Managed,0.04,25000.00,5.32,188.04
