num_matrices,threads_per_block,layout,cpu_ms,omp_ms,gpu_ms,gpu_xfer_ms,gpu_total_ms,cpu_gflops,omp_gflops,gpu_gflops,speedup
1000000,64,Separate (Managed),71.882,17.666,13.116,0.000,13.116,5.3,21.7,29.3,5.48
1000000,64,Separate (Pinned),71.69,16.80,8.32,12.61,20.93,5.4,22.9,46.1,3.43
1000000,64,Combined (Managed),71.94,18.01,13.94,0.00,13.94,5.3,21.3,27.6,5.16
1000000,64,Combined (Pinned),71.93,17.40,10.47,12.51,22.98,5.3,22.1,36.7,3.13
